customer_id,is_pass,is_loan,is_overdue,age,live_state,cont_list_no,ap_pd24h,ap_pd30d,ap_long3d,ap_long90d,ap_al,ap_dd_1lo,ap_dd_lalo,ap_dd_1lo_1ap,cd_score,cd_open_acct,cd_ovdu_acct,cd_ovdu_amt,cd_tot_bal,cd_enq_tot60d,cd_enq_org30d,gender_v_Male,education_v_12th,education_v_Below 10th,education_v_Doctorate/PhD,education_v_Graduation/Diploma,education_v_Masters/Post-Graduation,"mon_salary_v_100,000-200,000","mon_salary_v_15,000-20,000","mon_salary_v_20,000-30,000","mon_salary_v_200,000-500,000","mon_salary_v_30,000-50,000","mon_salary_v_50,000-100,000","mon_salary_v_<10,000","mon_salary_v_>=500,000",marriage_v_Single,marriage_v_Widowed,residence_type_v_Other,residence_type_v_PG,residence_type_v_Rent,employ_stat_v_Self-employed,employ_stat_v_Student,employ_stat_v_Unemployed,occupation_v_Clerical support workers,occupation_v_Craft and related trades workers,occupation_v_Elementary occupations,occupation_v_Managers,"occupation_v_Plant and machine operators, and assemblers",occupation_v_Professional,"occupation_v_Skilled agricultural, forestry and fishery workers",occupation_v_Technicians and associate prefessionals,cont1_rel_v_Friend,cont1_rel_v_Mother,cont1_rel_v_Sibling,cont1_rel_v_Spouse,cont2_rel_v_Mother,cont2_rel_v_Spouse
L1022001087903281194683400192,0,0,0,24,10010000,556,4.0,4.0,1.0,1.0,303.0,59.0,0.0,18221.0,767.0,1.0,0.0,0.0,80432.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1022001237908601262606843904,0,0,0,29,10190000,248,1.0,2.0,0.0,0.0,264.0,7.0,0.0,18238.0,529.0,4.0,2.0,6734.0,6898.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
L1022001237908581599822938112,0,0,0,38,10010000,87,0.0,7.0,2.0,7.0,352.0,101.0,2.0,3934.0,760.0,3.0,0.0,0.0,8802.0,2.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001227908257540375511040,0,0,0,31,10200000,137,2.0,3.0,2.0,3.0,285.0,10.0,0.0,18259.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001037901299943830257664,0,0,0,28,10300000,193,0.0,1.0,0.0,1.0,64.0,17.0,15.0,18226.0,749.0,3.0,0.0,0.0,290524.0,1.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
L1022001207907470237445062656,0,0,0,37,10200000,313,1.0,2.0,0.0,1.0,401.0,32.0,0.0,4012.0,648.0,3.0,1.0,236.0,236.0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
L1022001207907553182130307072,0,0,0,29,10190000,491,0.0,5.0,0.0,2.0,339.0,178.0,10.0,18101.0,755.0,2.0,0.0,0.0,10218.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
L1022001017900645375577096192,0,0,0,27,10100000,395,1.0,1.0,2.0,2.0,264.0,31.0,0.0,18253.0,755.0,3.0,0.0,0.0,43415.0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
L1022001177906482513347936256,0,0,0,24,10340000,829,0.0,0.0,0.0,0.0,318.0,155.0,122.0,18125.0,535.0,13.0,2.0,7679.0,46237.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1022001237908601815286087680,0,0,0,27,10200000,179,0.0,0.0,0.0,0.0,177.0,209.0,94.0,1199.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
